userID,itemID,rating,timestamp,Products
102,4,3,6/10/2019 13:01,Cold Brew
110,3,1,9/6/2019 8:31,Expresso
100,10,1,10/6/2019 13:15,Pistachios Pack
106,2,1,4/27/2019 14:43,Vanilla Chai
100,11,3,7/23/2019 3:50,Cashew nut Pack
115,6,1,1/11/2020 9:18,Iced Cappacino
112,15,4,7/13/2019 10:22,Snickers
108,9,2,3/24/2020 8:59,Almonds Pack
112,6,2,11/7/2019 5:52,Iced Cappacino
109,9,3,8/18/2019 8:26,Almonds Pack
115,8,3,1/28/2020 4:18,Apple Juice
113,4,2,12/10/2019 4:10,Cold Brew
110,13,2,10/20/2019 2:11,Cape Cod Chips
110,3,4,1/20/2020 16:21,Expresso
112,5,0,4/27/2019 13:22,Ice Coffee
112,1,2,1/22/2020 6:14,Mocha Latte Coffee
105,5,2,1/15/2020 9:21,Ice Coffee
108,10,1,2/23/2020 3:58,Pistachios Pack
102,1,4,6/18/2019 12:47,Mocha Latte Coffee
104,12,3,9/26/2019 21:40,Pringles
110,15,3,5/24/2019 18:51,Snickers
105,12,4,6/28/2019 16:48,Pringles
107,6,1,2/24/2020 10:40,Iced Cappacino
103,12,2,3/26/2020 6:00,Pringles
104,3,4,5/1/2019 10:19,Expresso
104,13,4,3/9/2020 18:36,Cape Cod Chips
105,11,4,8/12/2019 20:10,Cashew nut Pack
113,11,1,5/13/2019 2:19,Cashew nut Pack
112,3,2,3/4/2020 2:04,Expresso
105,7,3,1/2/2020 15:25,Banana Juice
105,3,3,8/2/2019 10:23,Expresso
105,9,4,7/3/2019 10:47,Almonds Pack
101,7,1,8/7/2019 11:03,Banana Juice
115,4,2,2/2/2020 14:52,Cold Brew
101,9,1,1/6/2020 19:45,Almonds Pack
107,12,3,8/20/2019 10:17,Pringles
109,12,1,12/25/2019 3:45,Pringles
107,15,5,6/16/2019 17:44,Snickers
108,7,1,2/27/2020 10:30,Banana Juice
100,9,2,1/18/2020 3:12,Almonds Pack
112,10,1,2/3/2020 21:57,Pistachios Pack
105,10,2,8/5/2019 7:52,Pistachios Pack
110,8,4,9/17/2019 7:39,Apple Juice
110,2,2,11/9/2019 17:13,Vanilla Chai
107,8,1,1/19/2020 17:07,Apple Juice
113,13,5,2/3/2020 14:25,Cape Cod Chips
101,2,1,9/29/2019 21:34,Vanilla Chai
112,2,4,1/9/2020 1:01,Vanilla Chai
115,7,4,7/11/2019 10:16,Banana Juice
100,7,2,7/30/2019 22:30,Banana Juice
101,5,2,6/13/2019 13:19,Ice Coffee
109,2,1,6/15/2019 3:29,Vanilla Chai
110,3,2,6/30/2019 5:17,Expresso
105,5,2,8/28/2019 0:28,Ice Coffee
114,13,1,5/22/2019 17:41,Cape Cod Chips
109,13,1,9/17/2019 18:57,Cape Cod Chips
107,1,3,10/20/2019 13:17,Mocha Latte Coffee
102,5,2,1/4/2020 13:08,Ice Coffee
112,15,2,10/10/2019 6:53,Snickers
114,4,1,5/29/2019 15:35,Cold Brew
100,14,5,9/2/2019 15:39,Doritos
102,7,4,6/6/2019 20:53,Banana Juice
101,1,1,1/31/2020 19:18,Mocha Latte Coffee
108,8,2,5/29/2019 19:36,Apple Juice
114,15,5,3/13/2020 7:50,Snickers
100,4,1,6/20/2019 5:15,Cold Brew
103,1,5,12/31/2019 11:56,Mocha Latte Coffee
115,9,4,1/3/2020 4:06,Almonds Pack
114,9,1,11/23/2019 18:32,Almonds Pack
112,10,1,9/8/2019 14:47,Pistachios Pack
109,10,2,10/24/2019 9:10,Pistachios Pack
113,9,3,6/4/2019 19:40,Almonds Pack
106,14,1,7/26/2019 6:58,Doritos
110,11,2,7/27/2019 8:36,Cashew nut Pack
108,11,4,7/11/2019 8:16,Cashew nut Pack
101,1,5,4/30/2019 10:19,Mocha Latte Coffee
102,7,4,12/11/2019 9:27,Banana Juice
100,7,2,4/23/2019 10:05,Banana Juice
106,10,2,3/22/2020 18:31,Pistachios Pack
111,3,2,10/13/2019 0:23,Expresso
112,9,3,3/24/2020 7:55,Almonds Pack
111,4,4,2/25/2020 21:02,Cold Brew
105,12,3,4/7/2019 11:33,Pringles
103,11,2,3/27/2020 4:54,Cashew nut Pack
111,3,1,4/29/2019 1:41,Expresso
114,3,1,11/28/2019 3:39,Expresso
109,8,4,7/26/2019 15:15,Apple Juice
109,9,5,4/24/2019 6:17,Almonds Pack
107,1,4,6/12/2019 15:34,Mocha Latte Coffee
110,8,4,4/7/2019 19:43,Apple Juice
100,5,4,1/29/2020 12:19,Ice Coffee
112,11,4,9/26/2019 2:03,Cashew nut Pack
101,11,1,1/1/2020 17:28,Cashew nut Pack
104,9,2,6/16/2019 11:05,Almonds Pack
106,5,2,6/7/2019 14:52,Ice Coffee
113,5,2,7/10/2019 16:50,Ice Coffee
101,3,3,10/25/2019 4:06,Expresso
113,13,1,5/15/2019 4:27,Cape Cod Chips
107,6,2,1/12/2020 8:33,Iced Cappacino
112,14,5,7/13/2019 13:20,Doritos
109,11,2,1/4/2020 15:00,Cashew nut Pack
105,14,1,3/26/2020 12:30,Doritos
110,4,2,5/31/2019 11:08,Cold Brew
108,1,1,1/25/2020 9:01,Mocha Latte Coffee
108,8,2,1/8/2020 1:26,Apple Juice
109,3,1,9/10/2019 21:53,Expresso
104,8,1,9/17/2019 0:42,Apple Juice
106,8,4,3/20/2020 12:58,Apple Juice
113,15,2,7/11/2019 15:23,Snickers
109,3,3,4/9/2019 2:19,Expresso
103,12,4,8/3/2019 23:06,Pringles
100,10,3,9/23/2019 13:25,Pistachios Pack
102,6,5,8/5/2019 17:11,Iced Cappacino
105,4,1,6/3/2019 21:46,Cold Brew
108,7,2,2/22/2020 5:49,Banana Juice
106,9,2,10/16/2019 5:57,Almonds Pack
105,5,2,12/30/2019 18:04,Ice Coffee
105,3,3,6/12/2019 13:59,Expresso
109,12,2,3/19/2020 14:49,Pringles
112,2,2,5/29/2019 14:43,Vanilla Chai
113,2,1,1/26/2020 11:35,Vanilla Chai
114,2,1,1/12/2020 6:59,Vanilla Chai
101,9,4,11/13/2019 10:42,Almonds Pack
112,2,1,10/30/2019 19:19,Vanilla Chai
108,4,2,5/6/2019 21:23,Cold Brew
113,4,2,7/29/2019 11:45,Cold Brew
110,11,2,3/1/2020 12:15,Cashew nut Pack
112,8,2,10/24/2019 3:38,Apple Juice
108,12,4,5/10/2019 18:00,Pringles
105,8,4,2/21/2020 4:40,Apple Juice
111,4,4,3/22/2020 22:52,Cold Brew
114,5,1,12/14/2019 18:51,Ice Coffee
101,4,2,11/27/2019 10:12,Cold Brew
112,3,1,12/26/2019 4:26,Expresso
103,2,2,8/7/2019 1:11,Vanilla Chai
112,3,5,11/23/2019 8:53,Expresso
111,10,2,10/20/2019 9:05,Pistachios Pack
111,15,5,6/5/2019 3:54,Snickers
105,5,3,11/1/2019 16:16,Ice Coffee
108,8,3,12/15/2019 13:22,Apple Juice
106,6,4,10/15/2019 22:40,Iced Cappacino
102,6,3,10/10/2019 13:17,Iced Cappacino
107,9,1,7/29/2019 17:35,Almonds Pack
105,5,3,9/29/2019 22:00,Ice Coffee
100,14,4,9/23/2019 17:23,Doritos
107,15,1,8/8/2019 4:36,Snickers
101,3,1,3/3/2020 11:30,Expresso
110,6,3,9/3/2019 17:15,Iced Cappacino
110,1,5,4/17/2019 15:16,Mocha Latte Coffee
100,14,1,9/6/2019 20:04,Doritos
114,1,3,10/6/2019 22:58,Mocha Latte Coffee
107,12,2,5/31/2019 16:22,Pringles
107,13,4,6/9/2019 4:42,Cape Cod Chips
105,7,1,10/9/2019 12:05,Banana Juice
100,15,5,10/16/2019 19:55,Snickers
113,8,3,3/25/2020 12:40,Apple Juice
110,11,1,10/20/2019 0:16,Cashew nut Pack
100,11,1,7/24/2019 7:39,Cashew nut Pack
113,4,3,10/26/2019 16:18,Cold Brew
111,9,1,5/13/2019 14:28,Almonds Pack
100,8,1,11/20/2019 15:32,Apple Juice
103,5,1,9/15/2019 14:25,Ice Coffee
111,15,5,7/23/2019 14:18,Snickers
101,1,1,4/27/2019 14:48,Mocha Latte Coffee
113,15,4,1/29/2020 12:39,Snickers
114,3,2,4/25/2019 2:04,Expresso
111,9,2,2/13/2020 20:58,Almonds Pack
101,15,4,10/18/2019 21:16,Snickers
104,15,3,10/4/2019 0:53,Snickers
100,15,1,4/27/2019 20:02,Snickers
105,1,3,6/16/2019 6:11,Mocha Latte Coffee
101,12,2,3/25/2020 22:21,Pringles
113,6,3,9/3/2019 15:36,Iced Cappacino
112,7,1,9/17/2019 18:57,Banana Juice
113,9,1,12/13/2019 8:37,Almonds Pack
111,3,5,8/6/2019 20:34,Expresso
101,11,4,1/7/2020 14:57,Cashew nut Pack
100,13,1,2/29/2020 14:10,Cape Cod Chips
104,10,2,10/25/2019 1:52,Pistachios Pack
111,12,2,4/16/2019 5:14,Pringles
109,11,1,11/26/2019 14:43,Cashew nut Pack
112,10,1,6/17/2019 6:26,Pistachios Pack
105,9,1,7/8/2019 10:34,Almonds Pack
105,11,1,8/31/2019 17:22,Cashew nut Pack
103,3,4,7/20/2019 10:03,Expresso
106,10,1,11/22/2019 15:34,Pistachios Pack
112,8,1,8/5/2019 11:14,Apple Juice
114,12,2,2/24/2020 19:54,Pringles
104,1,0,6/13/2019 10:17,Mocha Latte Coffee
111,2,5,1/1/2020 4:03,Vanilla Chai
113,14,3,4/28/2019 9:24,Doritos
113,10,5,9/19/2019 11:45,Pistachios Pack
115,1,2,10/26/2019 4:56,Mocha Latte Coffee
102,5,1,9/16/2019 3:38,Ice Coffee
113,12,5,3/19/2020 12:44,Pringles
113,10,1,7/25/2019 4:59,Pistachios Pack
109,14,0,11/10/2019 21:13,Doritos
101,9,1,9/11/2019 6:51,Almonds Pack
109,5,4,10/6/2019 20:27,Ice Coffee
102,7,4,9/22/2019 3:36,Banana Juice
103,1,4,3/4/2020 19:44,Mocha Latte Coffee
101,5,1,11/4/2019 22:41,Ice Coffee
104,3,2,5/30/2019 19:03,Expresso
102,1,2,11/10/2019 11:23,Mocha Latte Coffee
101,2,4,5/4/2019 15:00,Vanilla Chai
107,13,1,10/20/2019 11:50,Cape Cod Chips
109,15,3,9/21/2019 1:01,Snickers
111,9,2,8/3/2019 19:28,Almonds Pack
110,4,4,4/10/2019 19:00,Cold Brew
113,15,1,8/29/2019 2:09,Snickers
100,14,2,11/19/2019 12:28,Doritos
101,1,1,8/4/2019 21:32,Mocha Latte Coffee
107,11,4,8/22/2019 20:00,Cashew nut Pack
105,6,2,12/13/2019 0:29,Iced Cappacino
114,5,3,6/3/2019 17:44,Ice Coffee
104,3,5,1/11/2020 2:56,Expresso
107,8,2,8/26/2019 7:04,Apple Juice
113,8,3,2/12/2020 12:52,Apple Juice
102,9,4,4/19/2019 5:23,Almonds Pack
114,1,2,9/10/2019 15:28,Mocha Latte Coffee
114,1,4,6/3/2019 10:42,Mocha Latte Coffee
107,11,2,3/17/2020 22:38,Cashew nut Pack
105,1,5,1/4/2020 12:18,Mocha Latte Coffee
109,7,1,11/18/2019 0:17,Banana Juice
102,15,2,5/21/2019 16:31,Snickers
110,6,3,9/6/2019 18:38,Iced Cappacino
109,9,4,11/13/2019 1:02,Almonds Pack
106,15,1,1/16/2020 13:26,Snickers
108,11,1,1/8/2020 0:07,Cashew nut Pack
101,13,1,8/12/2019 11:58,Cape Cod Chips
100,3,5,1/10/2020 6:51,Expresso
102,5,2,7/6/2019 4:26,Ice Coffee
112,11,2,7/11/2019 23:37,Cashew nut Pack
107,5,1,11/27/2019 19:14,Ice Coffee
104,5,3,8/6/2019 16:29,Ice Coffee
108,13,4,12/12/2019 4:16,Cape Cod Chips
110,5,5,2/16/2020 13:39,Ice Coffee
100,12,3,1/31/2020 15:31,Pringles
115,3,1,7/12/2019 18:12,Expresso
114,15,2,8/20/2019 9:38,Snickers
111,14,1,6/25/2019 20:55,Doritos
107,5,2,2/23/2020 5:34,Ice Coffee
100,7,3,7/23/2019 1:46,Banana Juice
113,1,1,3/17/2020 0:50,Mocha Latte Coffee
103,6,1,12/24/2019 13:48,Iced Cappacino
107,6,1,4/1/2019 20:21,Iced Cappacino
101,3,4,7/31/2019 1:51,Expresso
115,7,2,10/13/2019 11:08,Banana Juice
112,1,1,8/9/2019 21:38,Mocha Latte Coffee
113,9,4,10/1/2019 4:13,Almonds Pack
102,13,4,9/7/2019 11:07,Cape Cod Chips
104,13,2,10/4/2019 7:10,Cape Cod Chips
106,5,2,9/6/2019 21:13,Ice Coffee
101,6,3,8/3/2019 22:07,Iced Cappacino
111,13,4,3/15/2020 11:27,Cape Cod Chips
104,10,1,10/10/2019 21:11,Pistachios Pack
112,2,4,12/14/2019 5:46,Vanilla Chai
114,6,2,4/26/2019 23:00,Iced Cappacino
106,10,4,8/19/2019 0:28,Pistachios Pack
101,10,4,8/30/2019 9:17,Pistachios Pack
111,14,3,7/17/2019 15:15,Doritos
103,4,1,6/3/2019 22:32,Cold Brew
107,4,1,5/22/2019 19:37,Cold Brew
102,1,5,1/3/2020 17:52,Mocha Latte Coffee
102,10,1,2/29/2020 15:23,Pistachios Pack
103,2,1,5/26/2019 15:14,Vanilla Chai
101,6,4,2/27/2020 17:22,Iced Cappacino
104,3,5,2/24/2020 18:20,Expresso
102,5,4,2/29/2020 20:08,Ice Coffee
111,12,1,3/3/2020 2:24,Pringles
104,8,2,8/16/2019 0:39,Apple Juice
104,9,3,10/21/2019 9:24,Almonds Pack
113,4,2,12/11/2019 6:21,Cold Brew
113,5,2,3/8/2020 0:45,Ice Coffee
113,10,1,3/9/2020 21:45,Pistachios Pack
100,11,2,1/14/2020 19:48,Cashew nut Pack
113,13,4,2/25/2020 9:50,Cape Cod Chips
104,1,2,6/16/2019 6:38,Mocha Latte Coffee
104,8,1,9/29/2019 16:33,Apple Juice
112,11,4,3/23/2020 11:47,Cashew nut Pack
114,3,1,3/11/2020 3:24,Expresso
109,9,2,1/26/2020 16:19,Almonds Pack
113,14,2,2/7/2020 16:25,Doritos
112,12,4,11/4/2019 2:19,Pringles
111,6,2,3/28/2019 23:34,Iced Cappacino
111,2,3,5/16/2019 3:12,Vanilla Chai
